,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
124,17602,0.2316831683168317,0.06930693069306931,0.05702167766258247,0.0,0.5142002989536621,0.31374606505771246,0.36012526096033404,0.02373887240356083
125,17921,0.0,0.00390625,0.0,0.0,0.71875,0.0,0.0,0.0
126,17960,0.0,0.007159904534606206,0.03180212014134275,0.0,0.625,0.38235294117647056,0.03571428571428571,0.0
127,17972,0.0,0.0090311986863711,0.0028776978417266188,0.0,0.19402985074626866,0.19786096256684493,0.0,0.0
128,17820,0.171875,0.06708595387840671,0.028662420382165606,0.014044943820224719,0.1111111111111111,0.275,0.2875,0.18
129,17314,0.2465753424657534,0.045,0.011210762331838564,0.0,0.0,0.5119047619047619,0.0,0.0
130,20012,0.0,0.04225352112676056,0.0,0.010698198198198198,0.21621621621621623,0.3409090909090909,0.10033444816053512,0.05176470588235294
133,17067,0.01757188498402556,0.04041095890410959,0.027918781725888325,0.02,0.0,0.431924882629108,0.23125,0.16049382716049382
134,17327,0.14018691588785046,0.0,0.0,0.0,0.0,0.352,0.36363636363636365,0.0967741935483871
135,17509,0.19090909090909092,0.12203389830508475,0.06040268456375839,0.0,0.0,0.0,0.08333333333333333,0.0
137,17744,0.0,0.03418803418803419,0.020202020202020204,0.0,0.0,0.11538461538461539,0.3157894736842105,0.0
138,17980,0.14285714285714285,0.020958083832335328,0.052083333333333336,0.009708737864077669,0.25806451612903225,0.17333333333333334,0.06557377049180328,0.0
